Time	0x6078-00	
0.000000e+000	3.145762e+006	
1.000000e-001	2.097200e+006	
2.000000e-001	2.818097e+006	
3.000000e-001	2.752562e+006	
4.000000e-001	2.555949e+006	
5.000000e-001	2.424872e+006	
6.000000e-001	2.424877e+006	
7.000000e-001	2.424869e+006	
8.000000e-001	-4.390980e+006	
9.000000e-001	-4.390980e+006	
1.000000e+000	-4.390980e+006	
1.100000e+000	-4.390980e+006	
1.200000e+000	-4.390980e+006	
1.300000e+000	-4.390980e+006	
1.400000e+000	-4.390980e+006	
1.500000e+000	-4.390980e+006	
1.600000e+000	-4.390980e+006	
1.700000e+000	-4.390980e+006	
1.800000e+000	-4.390980e+006	
1.900000e+000	-4.390980e+006	
2.000000e+000	-4.390980e+006	
2.100000e+000	-4.390980e+006	
2.200000e+000	-4.390980e+006	
2.300000e+000	-4.390980e+006	
2.400000e+000	-4.390980e+006	
2.500000e+000	-4.390980e+006	
2.600000e+000	-4.390980e+006	
2.700000e+000	-4.390980e+006	
2.800000e+000	-4.390980e+006	
2.900000e+000	-4.390980e+006	
3.000000e+000	-4.390980e+006	
3.100000e+000	-4.390980e+006	
3.200000e+000	-4.390980e+006	
3.300000e+000	-4.390980e+006	
3.400000e+000	-4.390980e+006	
3.500000e+000	-4.390980e+006	
3.600000e+000	-4.390980e+006	
3.700000e+000	-4.390980e+006	
3.800000e+000	-4.390980e+006	
3.900000e+000	-4.390980e+006	
4.000000e+000	-4.390980e+006	
4.100000e+000	-4.390980e+006	
4.200000e+000	-4.390980e+006	
4.300000e+000	-4.390980e+006	
4.400000e+000	-4.390980e+006	
4.500000e+000	-4.390980e+006	
4.600000e+000	-4.390980e+006	
4.700000e+000	-4.390980e+006	
4.800000e+000	-4.390980e+006	
4.900000e+000	-4.390980e+006	
5.000000e+000	-4.390980e+006	
5.100000e+000	-4.390980e+006	
5.200000e+000	-4.390980e+006	
5.300000e+000	-4.390980e+006	
5.400000e+000	-4.390980e+006	
5.500000e+000	-4.390980e+006	
