Time	0x6078-00	
0.000000e+000	6.226019e+006	
1.000000e-001	6.422629e+006	
2.000000e-001	6.029415e+006	
3.000000e-001	1.967060e+005	
4.000000e-001	1.966110e+005	
5.000000e-001	1.966110e+005	
6.000000e-001	1.966110e+005	
7.000000e-001	1.966110e+005	
8.000000e-001	1.966110e+005	
9.000000e-001	1.966110e+005	
1.000000e+000	1.966110e+005	
1.100000e+000	1.966110e+005	
1.200000e+000	1.966110e+005	
1.300000e+000	1.966110e+005	
1.400000e+000	1.966110e+005	
1.500000e+000	1.966110e+005	
1.600000e+000	1.966110e+005	
1.700000e+000	1.966110e+005	
1.800000e+000	1.966110e+005	
1.900000e+000	1.966110e+005	
2.000000e+000	1.966110e+005	
2.100000e+000	1.966110e+005	
2.200000e+000	1.966110e+005	
2.300000e+000	1.966110e+005	
2.400000e+000	1.966110e+005	
2.500000e+000	1.966110e+005	
2.600000e+000	1.966110e+005	
2.700000e+000	1.966110e+005	
2.800000e+000	1.966110e+005	
2.900000e+000	1.966110e+005	
3.000000e+000	1.966110e+005	
3.100000e+000	1.966110e+005	
3.200000e+000	1.966110e+005	
3.300000e+000	1.966110e+005	
3.400000e+000	1.966110e+005	
3.500000e+000	1.966110e+005	
3.600000e+000	1.966110e+005	
3.700000e+000	1.966110e+005	
3.800000e+000	1.966110e+005	
3.900000e+000	1.966110e+005	
4.000000e+000	1.966110e+005	
4.100000e+000	1.966110e+005	
4.200000e+000	1.966110e+005	
4.300000e+000	1.966110e+005	
4.400000e+000	1.966110e+005	
4.500000e+000	1.966110e+005	
4.600000e+000	1.966110e+005	
