Time	0x6078-00	
0.000000e+000	3.702841e+007	
1.000000e-001	3.702841e+007	
2.000000e-001	3.702841e+007	
3.000000e-001	3.702841e+007	
4.000000e-001	3.702841e+007	
5.000000e-001	3.702841e+007	
6.000000e-001	3.702841e+007	
7.000000e-001	3.702841e+007	
8.000000e-001	3.702841e+007	
9.000000e-001	3.702841e+007	
1.000000e+000	3.702841e+007	
1.100000e+000	3.702841e+007	
1.200000e+000	3.702841e+007	
1.300000e+000	3.702841e+007	
1.400000e+000	3.702841e+007	
1.500000e+000	3.702841e+007	
1.600000e+000	3.702841e+007	
1.700000e+000	3.702841e+007	
1.800000e+000	3.702841e+007	
1.900000e+000	3.702841e+007	
2.000000e+000	3.702841e+007	
2.100000e+000	3.702841e+007	
2.200000e+000	3.702841e+007	
2.300000e+000	3.702841e+007	
2.400000e+000	3.702841e+007	
2.500000e+000	3.702841e+007	
2.600000e+000	3.702841e+007	
2.700000e+000	3.702841e+007	
2.800000e+000	3.702841e+007	
2.900000e+000	3.702841e+007	
3.000000e+000	3.702841e+007	
3.100000e+000	3.702841e+007	
3.200000e+000	3.702841e+007	
3.300000e+000	3.702841e+007	
3.400000e+000	3.702841e+007	
3.500000e+000	3.702841e+007	
3.600000e+000	3.702841e+007	
